Country,FigTimeBin,LocationIsland,ReefSiteLocality,Lat,Long,StartYearAD,EndYearAD,StudyDepth,ApalmPres,AcervPres,BranchPoriPres,AgarPres,CavPres,ColpPres,DiplPres,MadrPres,MeanPres,MillPres,OrbiPres,PastrPres,SidePres,StephPres
StVincentGrenadines,1960-1969,Windward  Islands - St. Vincent,Indian Bay Reef,12.633288,-61.350161,1965,1965,1.0-5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Florida,1970-1979,Dry Tortugas,Bird Key Reef,24.61124778,-82.87070048,1975,NA,5,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
StVincentGrenadines,1960-1969,Windward  Islands - St. Vincent,Johnson Point,12.633288,-61.350161,1965,1965,.5 - 1 ,1,0,1,0,0,0,1,0,0,1,0,0,0,0
StVincentGrenadines,1960-1969,Windward  Islands - St. Vincent,Dove Island,12.633288,-61.350161,1965,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
StVincentGrenadines,1960-1969,Windward  Islands - St. Vincent,Dove Island,12.633288,-61.350161,1965,1965,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
USVI,Holocene,St. Croix,St. Croix,17.78333333,-64.61666667,974,974,2.1-8.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BVI,1970-1979,Anegada Island,Puerto Rico Platform,18.56402,-64.23867,1974,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BVI,1970-1979,Anegada Island,Puerto Rico Platform,18.56402,-64.23867,1974,1975,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BVI,1970-1979,Virgin Gordo,Puerto Rico Platform,18.56402,-64.23867,1974,1975,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BVI,1970-1979,Virgin Gordo,"South Sound, Tady Bay",18.468903,-64.403615,1974,1975,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,1990-1994,Biscayne National Park,Alinas,25.38668333,-80.16298333,1994,NA,1.8288,0,0,1,1,0,0,0,0,0,1,1,0,0,0
Florida,1990-1994,Biscayne National Park,Alinas,25.38668333,-80.16298333,1994,NA,2.4384,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Florida,1990-1994,Biscayne National Park,Alinas,25.38668333,-80.16298333,1994,NA,2.7432,0,1,1,1,1,1,1,0,0,1,1,1,1,0
Florida,1990-1994,Biscayne National Park,Alinas,25.38668333,-80.16298333,1994,NA,3.048,1,0,1,1,1,0,1,0,0,1,1,1,1,0
Florida,1990-1994,Biscayne National Park,Alinas,25.38668333,-80.16298333,1994,NA,3.3528,0,1,1,1,1,0,1,0,0,1,1,1,1,0
Florida,1990-1994,Biscayne National Park,Alinas,25.38668333,-80.16298333,1994,NA,3.6576,0,1,1,1,1,0,1,0,0,1,1,1,1,0
Florida,1990-1994,Biscayne National Park,Alinas,25.38668333,-80.16298333,1994,NA,3.9624,0,0,1,1,0,0,0,0,0,1,1,1,1,0
Florida,1990-1994,Biscayne National Park,Alinas,25.38668333,-80.16298333,1994,NA,4.2672,1,0,1,1,1,0,0,0,0,1,0,1,1,0
Florida,1990-1994,Biscayne National Park,Alinas,25.38668333,-80.16298333,1994,NA,4.572,0,1,1,1,1,0,1,1,0,1,1,1,1,0
Florida,1990-1994,Biscayne National Park,Alinas,25.38668333,-80.16298333,1994,NA,4.8768,0,0,1,1,1,1,1,0,0,1,0,1,1,0
Florida,1990-1994,Biscayne National Park,Ball Buoy,25.38668333,-80.16298333,1994,NA,3.9624,1,0,1,1,1,0,1,0,0,1,0,1,1,0
Florida,1990-1994,Biscayne National Park,Ball Buoy,25.38668333,-80.16298333,1994,NA,4.2672,1,1,1,1,1,0,1,0,0,1,1,1,1,0
Florida,1990-1994,Biscayne National Park,Ball Buoy,25.38668333,-80.16298333,1994,NA,4.572,1,0,1,1,1,0,1,0,1,1,1,1,1,0
Florida,1990-1994,Biscayne National Park,Ball Buoy,25.38668333,-80.16298333,1994,NA,4.8768,0,0,1,1,0,0,0,0,0,1,0,1,1,0
Florida,1990-1994,Biscayne National Park,East Bache,25.38668333,-80.16298333,1994,NA,2.1336,0,0,1,1,0,0,0,0,0,1,0,1,1,0
Florida,1990-1994,Biscayne National Park,East Bache,25.38668333,-80.16298333,1994,NA,2.4384,0,0,0,1,1,1,0,0,0,1,1,1,1,0
Florida,1990-1994,Biscayne National Park,East Bache,25.38668333,-80.16298333,1994,NA,2.7432,0,1,0,1,1,1,0,0,0,1,1,1,1,1
Florida,1990-1994,Biscayne National Park,East Bache,25.38668333,-80.16298333,1994,NA,3.048,0,0,1,1,0,0,0,0,0,1,1,1,1,0
Florida,1990-1994,Biscayne National Park,East Bache,25.38668333,-80.16298333,1994,NA,3.3528,0,0,1,1,0,0,0,0,0,1,1,1,1,0
Florida,1990-1994,Biscayne National Park,East Bache,25.38668333,-80.16298333,1994,NA,3.6576,0,0,0,1,0,0,1,1,0,1,1,1,1,1
Florida,1990-1994,Biscayne National Park,East Bache,25.38668333,-80.16298333,1994,NA,4.2672,0,0,0,0,0,0,1,0,0,1,0,1,1,0
Florida,1990-1994,Biscayne National Park,East Bache,25.38668333,-80.16298333,1994,NA,4.572,0,0,1,1,1,0,1,0,1,1,1,1,1,0
Florida,1990-1994,Biscayne National Park,East Bache,25.38668333,-80.16298333,1994,NA,4.8768,0,1,0,1,1,0,0,0,0,1,1,1,1,0
Florida,1990-1994,Biscayne National Park,Elkhorn,25.38668333,-80.16298333,1994,NA,1.524,1,0,1,1,0,0,1,0,0,1,0,1,1,0
Florida,1990-1994,Biscayne National Park,Elkhorn,25.38668333,-80.16298333,1994,NA,1.8288,1,1,1,1,0,0,1,0,0,1,0,1,1,0
Florida,1990-1994,Biscayne National Park,Elkhorn,25.38668333,-80.16298333,1994,NA,2.1336,0,0,1,0,0,0,1,0,0,1,0,1,1,0
Florida,1990-1994,Biscayne National Park,Elkhorn,25.38668333,-80.16298333,1994,NA,2.4384,1,1,1,1,0,0,1,0,0,1,0,1,1,0
Florida,1990-1994,Biscayne National Park,Elkhorn,25.38668333,-80.16298333,1994,NA,3.2004,0,0,1,1,0,0,0,0,0,1,0,1,1,0
Florida,1990-1994,Biscayne National Park,Elkhorn,25.38668333,-80.16298333,1994,NA,3.6576,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Florida,1990-1994,Biscayne National Park,Elkhorn,25.38668333,-80.16298333,1994,NA,3.9624,0,0,1,1,1,1,1,0,1,1,0,1,1,0
Florida,1990-1994,Biscayne National Park,Elkhorn,25.38668333,-80.16298333,1994,NA,4.2672,0,0,1,0,1,0,1,0,0,1,0,1,1,0
Florida,1990-1994,Biscayne National Park,Elkhorn,25.38668333,-80.16298333,1994,NA,4.572,0,0,1,1,1,0,1,0,0,1,0,1,1,1
Florida,1990-1994,Biscayne National Park,Elkhorn,25.38668333,-80.16298333,1994,NA,4.8768,0,0,1,1,0,0,1,0,0,1,0,0,0,0
Florida,1990-1994,Biscayne National Park,Fowey Reef,25.38668333,-80.16298333,1994,NA,3.9624,0,0,1,1,0,0,1,0,0,0,0,0,1,0
Florida,1990-1994,Biscayne National Park,Fowey Reef,25.38668333,-80.16298333,1994,NA,4.572,0,0,1,1,1,0,1,0,1,1,0,1,1,0
Florida,1990-1994,Biscayne National Park,Fowey Reef,25.38668333,-80.16298333,1994,NA,4.8768,0,0,1,1,0,0,1,0,0,1,0,1,1,0
Florida,1990-1994,Biscayne National Park,Isa,25.38668333,-80.16298333,1994,NA,3.81,0,0,0,1,0,0,0,0,0,1,1,1,1,1
Florida,1990-1994,Biscayne National Park,Isa,25.38668333,-80.16298333,1994,NA,4.8768,0,1,1,1,1,1,0,0,1,1,1,1,1,1
Florida,1990-1994,Biscayne National Park,Pacific,25.38668333,-80.16298333,1994,NA,4.572,0,0,1,1,0,0,0,1,0,1,1,1,1,1
Florida,1990-1994,Biscayne National Park,Pacific,25.38668333,-80.16298333,1994,NA,4.8768,0,0,1,1,0,0,0,0,0,1,0,1,1,0
Florida,1990-1994,Biscayne National Park,Soldier,25.38668333,-80.16298333,1994,NA,2.4384,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Florida,1990-1994,Biscayne National Park,Soldier,25.38668333,-80.16298333,1994,NA,2.7432,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Florida,1990-1994,Biscayne National Park,Soldier,25.38668333,-80.16298333,1994,NA,3.048,0,0,1,0,0,0,1,0,0,1,0,1,1,0
Florida,1990-1994,Biscayne National Park,Soldier,25.38668333,-80.16298333,1994,NA,3.3528,0,0,1,0,0,0,1,0,0,1,0,1,1,0
Florida,1990-1994,Biscayne National Park,Soldier,25.38668333,-80.16298333,1994,NA,3.6576,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Florida,1990-1994,Biscayne National Park,Soldier,25.38668333,-80.16298333,1994,NA,4.2672,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Florida,1990-1994,Biscayne National Park,Triumph,25.38668333,-80.16298333,1994,NA,2.7432,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Florida,1990-1994,Upper Keys,Cannon Patch,25.30416667,-80.21415,1994,NA,1.8288,0,1,1,1,1,0,1,0,0,1,1,1,1,0
Florida,1990-1994,Upper Keys,Lower Carysfort,25.30416667,-80.21415,1994,NA,2,1,0,1,1,0,0,1,0,0,1,0,1,1,0
Dutch Caribbean,1970-1979,St. Martin,St. Martin,18.01472,-63.06592,1974,1975,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AandB,1970-1979,Barbuda,Antiuga Platform,17.638419,-61.739534,1974,1975,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AandB,1970-1979,Barbuda,Antiuga Platform,17.638419,-61.739534,1974,1975,0.1 - 0.3 above mean low water,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,1995-1999,Lower Keys,Eastern Sambo Shallow,24.52303333,-81.51206667,1996,NA,2.5908,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,1995-1999,Lower Keys,Eastern Sambo Shallow,24.52303333,-81.51206667,1997,NA,2.5908,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,1995-1999,Lower Keys,Eastern Sambo Shallow,24.52303333,-81.51206667,1998,NA,2.5908,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,1995-1999,Lower Keys,Eastern Sambo Shallow,24.52303333,-81.51206667,1999,NA,2.5908,0,0,0,0,1,0,0,0,0,1,1,1,1,0
Florida,1995-1999,Lower Keys,Jaap Reef,24.52303333,-81.51206667,1996,NA,2.7432,0,0,1,0,1,1,1,0,0,1,1,1,1,0
Florida,1995-1999,Lower Keys,Jaap Reef,24.52303333,-81.51206667,1997,NA,2.7432,0,0,1,0,1,1,1,0,0,1,1,1,1,0
Florida,1995-1999,Lower Keys,Jaap Reef,24.52303333,-81.51206667,1998,NA,2.7432,0,0,1,0,1,1,1,0,0,1,1,1,1,0
