Country,FigTimeBin,LocationIsland,ReefSiteLocality,Lat,Long,StartYearAD,EndYearAD,StudyDepth,ApalmPres,AcervPres,BranchPoriPres,AgarPres,CavPres,ColpPres,DiplPres,MadrPres,MeanPres,MillPres,OrbiPres,PastrPres,SidePres,StephPres
Dutch Caribbean,1970-1979,Curacao,Carmabi Buoy One,12.13078889,-69.01197222,1973,NA,10,0,0,0,1,1,1,1,1,0,0,1,1,1,0
Dutch Caribbean,1970-1979,Curacao,Carmabi Buoy One,12.13078889,-69.01197222,1973,NA,20,0,0,1,1,1,1,0,1,1,0,1,1,1,1
Dutch Caribbean,1970-1979,Curacao,Carmabi Buoy Two,12.13078889,-69.01197222,1973,NA,10,0,0,1,1,1,1,0,1,1,1,1,1,1,1
Dutch Caribbean,1970-1979,Curacao,Carmabi Buoy Two,12.13078889,-69.01197222,1973,NA,20,0,0,0,1,1,0,1,1,1,0,1,1,1,1
Dutch Caribbean,1970-1979,Bonaire,Karpata,12.132412,-68.283246,1974,NA,10,0,0,0,1,1,1,1,1,0,1,1,1,0,1
Dutch Caribbean,1970-1979,Bonaire,Karpata,12.132412,-68.283246,1974,NA,20,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Dutch Caribbean,1980-1984,Curacao,Carmabi Buoy One,12.13078889,-69.01197222,1983,NA,10,0,0,0,1,1,1,0,1,0,1,1,0,1,0
Dutch Caribbean,1980-1984,Curacao,Carmabi Buoy One,12.13078889,-69.01197222,1983,NA,20,0,0,0,1,1,1,0,1,1,0,1,1,1,1
Dutch Caribbean,1980-1984,Curacao,Carmabi Buoy Two,12.13078889,-69.01197222,1983,NA,10,0,0,1,1,1,1,0,1,1,0,1,1,1,1
Dutch Caribbean,1980-1984,Curacao,Carmabi Buoy Two,12.13078889,-69.01197222,1983,NA,20,0,0,0,1,1,0,1,1,1,0,1,0,0,1
Dutch Caribbean,1980-1984,Bonaire,Karpata,12.132412,-68.283246,1983,NA,10,0,1,0,1,1,1,1,1,0,1,1,1,0,1
Dutch Caribbean,1980-1984,Bonaire,Karpata,12.132412,-68.283246,1983,NA,20,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Dutch Caribbean,1990-1994,Curacao,Carmabi Buoy One,12.13078889,-69.01197222,1991,NA,10,0,0,0,1,0,1,0,1,0,1,1,0,0,0
Dutch Caribbean,1990-1994,Curacao,Carmabi Buoy One,12.13078889,-69.01197222,1991,NA,20,0,0,0,1,1,1,0,1,1,0,1,1,1,1
Dutch Caribbean,1990-1994,Curacao,Carmabi Buoy Two,12.13078889,-69.01197222,1991,NA,20,0,0,0,1,1,0,0,1,1,0,1,1,0,1
Dutch Caribbean,1990-1994,Bonaire,Karpata,12.132412,-68.283246,1991,NA,20,0,0,0,1,1,1,1,1,1,0,1,1,1,1
Dutch Caribbean,1990-1994,Curacao,Carmabi Buoy One,12.13078889,-69.01197222,1992,NA,10,0,0,0,1,1,1,1,1,0,0,1,0,1,0
Dutch Caribbean,1990-1994,Curacao,Carmabi Buoy One,12.13078889,-69.01197222,1992,NA,20,0,0,0,1,1,1,0,1,1,0,0,1,1,1
Dutch Caribbean,1990-1994,Curacao,Carmabi Buoy Two,12.13078889,-69.01197222,1992,NA,10,0,0,1,1,1,1,0,1,1,1,1,0,1,0
Dutch Caribbean,1990-1994,Bonaire,Karpata,12.132412,-68.283246,1992,NA,10,0,0,1,1,1,1,0,1,0,1,1,1,0,0
Dutch Caribbean,1990-1994,Bonaire,Barcadera,12.575573,-69.991373,1992,NA,10,0,0,1,1,1,1,1,1,1,0,1,1,1,0
Dutch Caribbean,1990-1994,Curacao,Awa Blancu,12.13078889,-69.01197222,1993,NA,10,0,0,1,1,0,1,0,1,1,0,1,0,0,0
Dutch Caribbean,1990-1994,Curacao,Awa Blancu,12.13078889,-69.01197222,1993,NA,20,0,0,1,1,1,1,1,1,1,0,1,1,1,1
